"id","pdm","grupo"
01210,ABSORVENTE HIGIÊNICO,85
02160,MAQUIAGEM,85
02310,ALICATE DE MANICURE,85
02315,ALICATE PARA CORTAR UNHA,85
02316,ALICATE PARA CUTICULA,85
02676,APARELHO BARBEAR,85
02677,APARELHO DE BARBEAR DESCARTAVEL,85
02678,APARELHO DE BARBEAR ELETRICO,85
02821,APARELHO BARBEAR DESCARTÁVEL,85
03071,CAPA CORTE CABELO,85
03072,ARTIGO DE MANICURE,85
03073,ARTIGO DE PEDICURE,85
03076,ARTIGO DE TOUCADOR PARA EMBELEZAMENTO,85
04813,CHAPA ALISAR CABELO,85
05367,COLÔNIA TOALETE,85
05541,CONDICIONADOR CABELOS,85
05662,ROLO PARA CABELO,85
05729,CONJUNTO HIGIENE,85
05959,CREME DE BARBA,85
05960,CREME DEPILATORIO,85
06061,DENTIFRÍCIO,85
06110,DESODORANTE,85
06937,ESCOVA BANHO,85
06938,ESCOVA CABELO,85
06941,ESCOVA DENTAL,85
06946,ESCOVA ROUPA,85
06947,ESCOVA UNHA,85
06970,ESMALTE DE UNHA,85
07511,FIO DENTAL,85
07576,FITA DENTAL,85
07954,GEL PARA TOUCADOR,85
08122,GUARDANAPO DE PAPEL,85
08178,HASTE FLEXÍVEL,85
08612,LÂMINA BARBEAR,85
08768,LENCO DE PAPEL,85
08839,LIMA UNHA,85
08896,LIXA UNHA,85
08900,LOCAO DE BARBA,85
08902,LOCAO PARA LIMPEZA DE PELE,85
10045,NAVALHA,85
10370,PAPEL DE USO EM ATIVIDADES DE TOUCADOR,85
10371,PAPEL DE USO FACIAL,85
10383,PAPEL HIGIÊNICO,85
10630,PENTE DE CABELO,85
10663,PERFUME,85
10733,PINCEL,85
11199,PREPARADO PARA BARBA,85
11862,SABAO DE BARBA,85
11869,SABONETE,85
11870,SABONETE LÍQUIDO,85
12487,TALCO DE TOUCADOR,85
12489,TALCO PARA BARBA,85
12681,TESOURA CORTE CABELO,85
12682,TESOURA MANICURE,85
12792,TOALHA DE PAPEL,85
12849,TOUCA BANHO,85
13484,XAMPU,85
14305,DESODORIZADOR SANITÁRIO,85
15570,LENÇO DESCARTÁVEL,85
16164,PROTETOR ASSENTO SANITÁRIO,85
17286,"SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS",85
17287,ARTIGOS PARA HIGIENE PESSOAL,85
17288,ARTIGOS DE PAPEL PARA HIGIENE,85
17440,EMULSÃO EMOLIENTE,85
17721,APLICADOR TINTURA,85
17722,GRAMPO CABELO,85
17729,PRENDEDOR DE CABELO,85
18409,REFIL ABSORVENTE HIGIÊNICO,85
