id  pdm
07216 ETAMBUTOL
07739	FORMALDEÍDO
07264	EXTRATO
02427	IOIMBINA
03265	ANIDRIDO
07125	ESTERILIZANTE
03176	AZUL
02250	ÁLCOOL
04694	ÁCIDO
02955	MEPIRAMINA
12640	BUTILFTALONITRILA
07063	CLOROTIAZIDA
03188	AZUL
07262	EXTRATO
12613	TELÚRIO
02265	ÁLCOOL
03175	AZUL
03179	AZUL
02112	AGENTE
02415	ÁC.6-HIDROX-2,5,7,8-TETRAMETILCROMANO-2CARBOXÍLICO
03172	AZUL
11224	PROPAMOCARBE
04212	ÁCIDO
02254	ÁCIDO
03184	AZUL
10693	1-METILBIGUANIDA
10694	SORBITANA
10692	2-PENTANONA
10691	HEPTANOSSULFONATO
10180	ALACLORO
06212	DILUENTE
01735	ACETATO
07710	FONTE
00776	FENOL
07346	ACETATO
02869	ORCINOL
04098	CÁDMIO
04337	FTALOCIANINA
06211	BIS(2-ETILHEXIL)FOSFATO
01856	ÁCIDO
05492	CLOMIFENO
05485	2-ETIL-HEXANOATO
11216	4-AMINOFENOL
05489	COMPOSTO
00848	ACETONA
03925	BROMO
12175	SÓDIO
00791	MERCÚRIO
00775	ENXOFRE
07796	HEXAMETILFOSFORAMIDA
05490	COMPOSTO
05491	COMPOSTO
12561	3-FENILFENOL
12562	GLICONATO
06151	DEXTRINA
07958	METIL-MALEIMIDA
11238	TRIPOLIFOSFATO
00722	CORANTE
12228	X-GLUCURONIDEO
12229	SELENETO
12195	ÁCIDO
06109	DESODORANTE
00743	METAMITRONA
07863	PROPANIL
00734	CARTAPE
11779	TIAMETOXAM
03185	AZUL
11235	DIETIL-M-TOLUAMIDA
08372	INIBIDOR
02152	UMECTANTE
02550	ANTI
04697	CATALISADOR
02113	ADITIVO
00744	ÓXIDO
02154	DIFENOCONAZOL
03178	AZUL
04066	BATOCUPROÍNA
02258	URIDINA
09713	METOL
03187	AZUL
03189	AZUL
02609	ANTIMÔNIO
07065	NICOTINAMIDA
07835	GÁS
04185	6-METOXI-2,5,7,8-TETRAMETILCROMANO-2-CARBOXILATO
02266	ÁLCOOL
11234	3,3-DIAMINOBENZIDINA
02332	TRIAZOFÓS
12751	TITANATO
02117	ADITIVO
02553	MELATONINA
02262	BENZILAMINA
07108	9-HIDROXIMETIL-ANTRACENO
02373	1-AMINO
12256	ACETATO
03186	AZUL
06206	CLORIMURON
00720	DISSULFETO
02555	3-METOXIPROPILAMINA
03174	AZUL
03183	AZUL
02253	ARTESUNATO
03173	AZUL
12595	DIMETOATO
08223	BUTANODITIOL
03170	AZUL
02255	ÁLCOOL
02426	PULEGONA
02817	ÓXIDO
02519	ANIDRIDO
02269	TIRAMINA
02412	AMILOSE
07122	ESTREPTOMICINA
00875	ÉTER
11914	BENZIL-ETANOLAMINA
04514	CARBONATO
04530	CARBONATO
00782	GLICEROL
00721	CLORETO
00733	ACETATO
13574	FENILETANOL
00724	ÁCIDO
07938	HIDROXIETILA
05265	SEMICARBAZIDA
09789	MISTURA
00732	HIDROXILAMINA
00729	CLOXACILINA
07937	SULFETO
11422	ATRAZINA
07737	PROMICIDONA
02116	ADITIVO
02115	ADITIVO
11672	(3-GLICIDILOXIPROPIL)
06098	ACETATO
04672	CARVÃO
02598	BENZETÔNIO
00741	CLORPROMAZINA
11679	RESINA
10930	PARTÍCULAS
10931	PIRENO
03345	BÁRIO
08230	HIDRÓXIDO
13541	CLORETO
06185	DICROMATO
06186	DICROMATO
03520	BICARBONATO
04522	CARBOXIMETILCELULOSE
03487	BAUXITA
02987	ARGILA
08243	CLORETO
06922	ESTRÔNCIO
07781	FOSFATO
07091	ESTANHO
06359	DIUROM
06209	TEPRALOXIDIM
03181	AZUL
00714	AMILORIDA
11229	SETOXIDIM
00719	ÁLCOOL
09497	GALACTOSAMINA
03061	ARSÊNIO
03177	AZUL
09499	QUINAZOLINA
09500	ACETATO
05464	COMPONENTE
12760	CARBACOL
13370	CLOMAZONA
05478	COMPOSTO
12197	SOLUCAO
12214	SOLUCAO
13315	ÁCIDO
01745	N,N'-METILENOBIS(ACRILAMIDA)
07064	ESSÊNCIA
09434	NONADECANOATO
13496	ZINCO
00712	ÁCIDO
02039	ACIDULANTE
02263	ÁLCOOL
07942	GÁS
00475	MERCAPTOETANOL
02605	ANTIMONIATO
02608	ALFACIPERMETRINA
02815	(1S,2S,4R)-(+)-LIMONENO-1,2-DIOL
02812	ÁCIDO
02850	MOXIDECTINA
02851	TETRACOSANOATO
03863	4-METOXIACETOFENONA
12211	SOLUCAO
12311	SUBGALATO
12319	ÁCIDO
12458	TABLETE
12633	CUMARINA
00798	TEREBENTINA
00799	URÉIA
13451	FORMIATO
08936	LUTÉCIO
09089	MANGANÊS
06049	LEVAMISOL
01743	ACETATO
11951	METALDEÍDO
10255	OXICLORETO
08214	HIALURONATO
00796	PARAFINA
05292	COBRE
03498	BENZENO
05365	COCOAMIDOPROPIL
00265	ACETATO
09433	DODINA
03260	ANIDRIDO
00792	ÓXIDO
00876	CLORITO
11421	PIRITIOBAQUE
00731	FENAZINA
06197	ISOXAFLUTOLE
08259	TIMOL
11982	SELÊNIO
06105	IODETO
10065	ÁCIDO
10103	QUINOLINA
10091	NÍQUEL
06100	ÁCIDO
10256	RANITIDINA
01819	ACETATO
02165	ÉSTER
03344	PREDNISONA
